product_name_lan1,product_img_url,product_url,origin_lan1,old_price,current_price
Organic Whole Milk 1L,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,https://example.com/milk,Dairy,2.99,1.99
Fresh Sourdough Bread,https://images.unsplash.com/photo-1585478259715-876ace06058a?w=400,https://example.com/bread,Bakery,4.50,3.25
Free Range Eggs 12pk,https://images.unsplash.com/photo-1582722872445-44dc5f7e3c8f?w=400,https://example.com/eggs,Poultry,5.99,4.49
Extra Virgin Olive Oil 750ml,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,https://example.com/olive-oil,Mediterranean,9.99,7.50
Greek Yogurt 500g,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=400,https://example.com/yogurt,Dairy,3.49,2.79
Atlantic Salmon Fillet 400g,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?w=400,https://example.com/salmon,Seafood,12.99,9.99
Baby Spinach 200g,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=400,https://example.com/spinach,Produce,2.49,1.89
Aged Cheddar Cheese 300g,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?w=400,https://example.com/cheddar,Dairy,6.99,5.49
Chicken Breast 600g,https://images.unsplash.com/photo-1604503468506-a8da13d11d36?w=400,https://example.com/chicken,Meat,8.99,6.99
Avocado (each),,https://example.com/avocado,Produce,1.99,1.49
Pasta Penne 500g,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=400,,Italy,2.29,1.79
Tomato Passata 680g,https://images.unsplash.com/photo-1546549032-9571cd6b27df?w=400,https://example.com/passata,Italy,3.99,2.99
Orange Juice 1L,https://images.unsplash.com/photo-1621506289937-a8e4df240d0b?w=400,https://example.com/oj,Beverages,4.29,3.49
Dark Chocolate 85% 100g,https://images.unsplash.com/photo-1606312619070-d48b4c652a52?w=400,https://example.com/chocolate,Belgium,3.99,2.99
Basmati Rice 1kg,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,https://example.com/rice,India,4.49,3.29
